@relation gestures

@attribute wMax numeric
@attribute wMin numeric
@attribute wMean numeric
@attribute wMed numeric
@attribute wVar numeric
@attribute wTVar numeric
@attribute wAUC numeric
@attribute rMax numeric
@attribute rMin numeric
@attribute rMean numeric
@attribute rMed numeric
@attribute rVar numeric
@attribute rTVar numeric
@attribute rAUC numeric
@attribute cMax numeric
@attribute cMin numeric
@attribute cMean numeric
@attribute cMed numeric
@attribute cVar numeric
@attribute cTVar numeric
@attribute cAUC numeric
@attribute label {notouch, constant, rub, pat, scratch, stroke,tickle}

@data
3155,2813,2966.435185,2940,7225.425666,2573,320375,5.136406995,4.924940293,5.037647641,5.047693337,0.003536271,1.46211981,544.0659452,3.88415263,3.659438322,3.7700531,3.761183813,0.002274582,2.674339401,407.1657347,constant
3518,3112,3366.425926,3421.5,14539.40568,2611,363574,5.146725441,4.959230548,5.044485651,5.02929888,0.002209821,1.727349702,544.8044503,3.985424407,3.689184903,3.869861454,3.903972762,0.006898352,2.617736947,417.945037,constant
3662,3254,3423.935185,3400.5,15905.18268,3267,369785,5.083257645,4.950469684,5.015810948,5.020738134,0.001406524,1.693749564,541.7075824,3.855860909,3.61613992,3.752787667,3.7521849,0.004577882,2.53254459,405.3010681,constant
3787,3179,3630.018519,3664,15947.71928,3589,392042,5.023942538,4.77980497,4.945013629,4.972137969,0.003811049,1.680723692,534.0614719,3.978966346,3.708980044,3.800928939,3.790858713,0.003010124,2.527125294,410.5003254,constant
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,notouch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,notouch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,notouch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,notouch
1797,28,331.037037,63.5,181253.3257,14550,35752,6.289389068,3.891891892,5.238877651,5.330845771,0.417803716,49.7014578,565.7987863,7.888888889,4.006706908,5.302809787,5.157168038,0.599361169,76.45435643,572.703457,pat
1632,24,393.1481481,192.5,153612.3517,12634,42460,6.571428571,4.083333333,5.160951095,5.191757387,0.22094176,42.20863951,557.3827182,8.265306122,3.799679487,4.992901697,4.638130252,0.799120397,66.68589661,539.2333833,pat
1493,20,420.1388889,103,198708.2329,13037,45375,6.927710843,4.344827586,5.54833276,5.593836344,0.340382874,50.44962663,599.2199381,7.517241379,3.4,5.381310013,5.1776182,0.607416878,75.53728025,581.1814814,pat
1561,16,314.8796296,59,131974.2377,12617,34007,6.533333333,3.787878788,5.429735514,5.527506051,0.224562701,43.69683782,586.4114355,7.113636364,3.358974359,5.08105355,4.82932717,0.920464302,85.17931128,548.7537834,pat
1260,334,788.3888889,741.5,56348.81931,10895,85146,6.12526096,4.700803213,5.450398547,5.510247422,0.091973613,12.15923428,588.6430431,6.914078675,3.338677355,5.003497239,5.029179819,0.86231374,20.70255824,540.3777018,rub
1461,283,733.9537037,711,66327.33429,10873,79267,6.52362949,5.005,5.778676696,5.727179327,0.090824742,13.00935619,624.0970831,6.61102107,3.822754491,5.339904399,5.280996033,0.614210215,21.41833195,576.7096751,rub
1072,372,677.2407407,686.5,30825.88543,8234,73142,6.558064516,4.915356711,5.826828731,5.82710618,0.190416198,12.57998652,629.297503,6.555263158,3.834248079,5.127843945,5.064956471,0.666641873,17.96338324,553.807146,rub
1265,335,731.212963,669,59872.20656,9823,78971,6.922535211,5.115826702,5.760204998,5.664305915,0.155143782,12.59266874,622.1021398,5.86627907,3.658839779,4.736358509,4.738549314,0.387325901,16.87993696,511.5267189,rub
2041,291,965.2777778,874,155639.6231,25122,104250,6.982126899,3.560885609,5.152888601,5.208122322,0.816356191,32.16421803,556.5119689,7.408400357,2.880526811,5.072803137,5.20268909,1.350436087,38.79327069,547.8627388,scratch
2225,132,575.3611111,567,111263.5039,16721,62139,6.926174497,3.479411765,5.104209331,5.071111025,0.724690046,32.55963914,551.2546078,6.884016973,2.843324251,5.077770987,5.106678824,1.078798454,38.91415792,548.3992666,scratch
938,174,485.6203704,486.5,22983.13491,10461,52447,6.82460733,3.662790698,5.041816038,4.915354003,0.635168551,32.45780781,544.5161321,6.662162162,3.003305785,5.064858623,4.906731282,1.062854049,35.6552064,547.0047313,scratch
941,208,519.6851852,505,24325.43268,12159,56126,6.633466135,3.638817481,5.009153506,5.034696637,0.522563587,33.22404234,540.9885786,6.609561753,3.295010846,5.14503818,5.146327627,0.832322235,31.50260695,555.6641235,scratch
1434,17,500.2037037,475.5,178808.6123,8698,54022,8.54076087,3.529411765,5.841344937,5.670531401,1.541985796,49.56100659,630.8652532,8.607142857,3.473684211,5.628577414,5.422893154,0.620688082,50.02647308,607.8863607,stroke
1185,10,439.0277778,413.5,149063.8964,8503,47415,7.810144928,2.6875,5.698972774,5.702119152,1.642235581,77.2503434,615.4890596,8.692307692,4.079150579,5.738534132,5.416849435,1.104442876,59.16886751,619.7616862,stroke
1127,11,421.0462963,406.5,126964.9231,8316,45473,7.826086957,3.431880109,5.545816125,5.613511029,1.572346037,50.41385765,598.9481415,8,4.141969831,5.291909029,4.957729941,0.944991076,49.22873715,571.5261752,stroke
1016,20,425.6759259,475,117029.2865,9177,45973,8.145251397,3.63973064,5.806422947,5.650249477,1.495603179,41.8099146,627.0936783,8.452380952,3.571428571,4.971210051,4.676767677,0.84289829,59.05602317,536.8906855,stroke
1989,264,1030.101852,1001.5,122522.4475,21224,111251,5.74796748,3.610738255,4.708030983,4.795495731,0.212645874,22.38275367,508.4673462,5.926282051,3.532194481,4.805040065,4.876859673,0.400186482,20.42929875,518.9443271,tickle
1711,210,895.5,926,92517.72897,17803,96714,5.417199716,3.880364109,4.793745435,4.824159144,0.085592392,16.44466825,517.7245069,5.347107438,3.586037365,4.337704959,4.2213276,0.242215498,20.49707389,468.4721355,tickle
1405,192,776.7037037,778,63267.18242,16757,83884,5.847826087,4.155756208,4.964763669,4.936137954,0.168476985,18.20774735,536.1944763,5.642335766,3.771889401,4.634070891,4.589684343,0.145448715,22.14705389,500.4796562,tickle
1512,362,964.5740741,961,52896.35895,15882,104174,5.403180543,3.51510989,4.744042363,4.858486293,0.180472601,16.74910526,512.3565752,5.07010582,3.451970443,4.436192655,4.503247276,0.123966175,17.57063174,479.1088068,tickle
1934,1858,1890.694444,1889.5,278.1580997,1948,204195,5.591944886,5.521237546,5.551444738,5.549265365,0.000305757,2.509321215,599.5560317,5.686621551,5.552246604,5.618002225,5.620139065,0.000642228,3.559195239,606.7442403,constant
1944,19,1240.916667,1331.5,448198.1332,4814,134019,6.636363636,4.62962963,5.568269484,5.539632039,0.054788453,11.75756793,601.3731043,6.608695652,3.02,5.458174641,5.612809511,0.280113834,21.55519349,589.4828612,constant
3043,1475,2639.351852,2724.5,115255.2582,2718,285050,5.719537381,5.607745159,5.676706311,5.676850897,0.000403865,1.650711837,613.0842816,5.059661017,4.156073211,4.369664216,4.362447286,0.026090314,3.099892898,471.9237353,constant
3448,3021,3282.944444,3320,11304.68847,2408,354558,5.721006892,5.665267915,5.69244997,5.69420002,0.000149794,1.304281268,614.7845967,4.261297264,4.144103393,4.201138111,4.199876371,0.000541457,2.357539079,453.722916,constant
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,notouch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,notouch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,notouch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,notouch
657,23,114.3703704,52.5,17438.74005,6107,12352,6.71875,4.365853659,5.555554218,5.528866446,0.294612584,67.6039837,599.9998556,7.378378378,3.659574468,5.355030994,5.329166667,0.694525426,100.6930802,578.3433474,pat
584,22,88.67592593,51,10131.23044,4955,9577,6.911764706,4.262295082,5.486485962,5.531262174,0.278401721,73.29575589,592.5404839,7.130434783,3.066666667,5.280147797,5.276263298,0.546884653,92.32010839,570.255962,pat
473,26,89.53703704,52.5,7640.905157,4522,9670,6.450980392,4.361111111,5.566190687,5.625,0.286029132,58.01680538,601.1485942,6.775,3.153846154,5.300995185,5.401816911,0.410720356,71.79970403,572.50748,pat
385,24,90.53703704,57.5,5517.671513,3730,9778,6.442857143,4.533333333,5.436480337,5.373212287,0.19397115,46.24312734,587.1398764,7.254545455,3.7,5.461648927,5.386781609,0.45110938,65.27695229,589.8580842,pat
319,72,156.0462963,150,2622.717463,3278,16853,6.165137615,4.451851852,5.304513365,5.361947482,0.213087535,25.8095021,572.8874434,6.216216216,4.655172414,5.541839461,5.57641196,0.112637889,37.12302747,598.5186618,rub
284,72,148.212963,145,2025.253288,3243,16007,6.291970803,4.413043478,5.443993662,5.553995157,0.223228636,27.33052458,587.9513155,6.192771084,4.604651163,5.408806341,5.430194805,0.112581565,34.39938338,584.1510849,rub
185,17,93.90740741,95,1207.524057,2575,10142,6.5,4,5.598742749,5.63875,0.144264967,30.49753134,604.6642169,6.868131868,3.722222222,5.570402158,5.575869108,0.274602213,51.93241813,601.6034331,rub
198,26,93.66666667,93.5,1111.308411,2326,10116,6.566666667,4.852459016,5.62741767,5.631481481,0.119140521,33.57542369,607.7611083,6.921875,4.034482759,5.511842372,5.562894737,0.320174446,51.41762421,595.2789762,rub
384,35,166.1111111,147.5,7752.492212,4091,17940,6.20754717,4.346153846,5.095427855,5.060067314,0.142789466,27.87875378,550.3062083,6.642201835,3.966101695,5.285352907,5.193376068,0.156416255,35.38924623,570.818114,scratch
413,48,163.7407407,135,7855.315334,4430,17684,6.196721311,4.150997151,5.127466333,5.081893924,0.192017246,30.64081835,553.7663639,6.549019608,4.090909091,5.099867597,5.131023102,0.259518482,38.53222492,550.7857005,scratch
305,43,136.9907407,128,3412.270942,3822,14795,7.209302326,4.305164319,5.063983378,5,0.164284794,35.71693025,546.9102048,6.344262295,4.261363636,5.195861883,5.211629841,0.202430457,37.35590663,561.1530833,scratch
291,26,134.5925926,127.5,2892.112842,3717,14536,6.162162162,4.490740741,5.11919434,5.070977394,0.118780675,31.60617568,552.8729887,6.230088496,4.23853211,5.220106729,5.215725047,0.209150898,42.83104695,563.7715267,scratch
350,16,92.44444444,44,7133.445483,2217,9984,7.2,3.804878049,5.409447813,5.443464496,0.486676552,72.17125907,584.2203638,8.342105263,3.62,5.863145885,5.774297521,0.712742204,93.82384473,633.2197556,stroke
275,10,72.62962963,37,4780.067151,2463,7844,6.363636364,3.3125,5.302279764,5.290570175,0.376344519,67.25164063,572.6462145,8.157894737,2.923076923,5.877215814,5.897727273,0.870213609,120.4545069,634.7393079,stroke
311,11,90.94444444,51,6085.660436,2986,9822,6.684210526,3.9,5.311986475,5.349825175,0.343948658,60.90484054,573.6945393,7.892857143,3.333333333,5.950505234,5.859126984,0.790369602,106.1504268,642.6545653,stroke
289,13,84.89814815,48,5516.466165,2594,9169,6.673913043,3.823529412,5.337531345,5.437335901,0.374462662,59.04621255,576.4533853,8.266666667,3.375,6.098444866,6,0.964478652,119.2351224,658.6320455,stroke
406,20,185.0648148,187,8516.958377,5342,19987,6.620689655,4.965217391,5.628743842,5.742379356,0.122564135,20.9918349,607.9043349,6.822222222,3.416666667,5.248107434,5.240927982,0.310422472,43.64962429,566.7956028,tickle
401,13,80.22222222,37,6494.735202,2966,8664,6.789473684,2.761904762,5.547800054,5.755952381,0.481553539,74.78060223,599.1624058,7.259259259,2.956521739,5.150086873,5.083916084,0.806432143,102.5309147,556.2093823,tickle
369,12,136.5833333,131,7731.329439,4599,14751,6.842105263,3.653846154,5.546417621,5.492292673,0.239165282,44.55165264,599.0131031,6.885714286,3.447368421,5.103645672,5.102631579,0.343923301,63.34132247,551.1937326,tickle
384,15,140.9166667,123,8053.852804,4556,15219,6.457142857,3.884615385,5.538359812,5.568846816,0.174539491,36.66823911,598.1428597,7.942857143,3.292682927,5.036950878,5.02053455,0.484785629,75.86168967,543.9906948,tickle
